Region,Load,TR
MISO,78849.3,0.047531573
MISO,78847.98,0.047646383
MISO,78843.4,0.047761194
MISO,78837.17,0.047876005
MISO,78831.54,0.047990815
MISO,78828.74,0.048105626
MISO,78813.81,0.048220436
MISO,78804.14,0.048335247
MISO,78789.6,0.048450057
MISO,78784.47,0.048564868
MISO,78771.9,0.048679679
MISO,78769.04,0.048794489
MISO,78740.4,0.0489093
MISO,78736.74,0.04902411
MISO,78729.73,0.049138921
MISO,78727.48,0.049253731
MISO,78720.79,0.049368542
MISO,78717.9,0.049483352
MISO,78704.97,0.049598163
MISO,78689.9,0.049712974
MISO,78689.2,0.049827784
MISO,78670.16,0.049942595
MISO,78657.3,0.050057405
MISO,78654.1,0.050172216
MISO,78650.5,0.050287026
MISO,78648.35,0.050401837
MISO,78635.96,0.050516648
MISO,78633.6,0.050631458
MISO,78632.8,0.050746269
MISO,78614.26,0.050861079
MISO,78598.16,0.05097589
MISO,78580.08,0.0510907
MISO,78560.9,0.051205511
MISO,78559.38,0.051320321
MISO,78547.78,0.051435132
MISO,78538.81,0.051549943
MISO,78524.9,0.051664753
MISO,78520.87,0.051779564
MISO,78514.6,0.051894374
MISO,78500.89,0.052009185
MISO,78496,0.052123995
MISO,78492.7,0.052238806
MISO,78485.9,0.052353617
MISO,78484.1,0.052468427
MISO,78463.98,0.052583238
MISO,78455.56,0.052698048
MISO,78448.68,0.052812859
MISO,78448.64,0.052927669
MISO,78428.8,0.05304248
MISO,78421.34,0.05315729
MISO,78418.4,0.053272101
MISO,78417.47,0.053386912
MISO,78415.02,0.053501722
MISO,78410.3,0.053616533
MISO,78406.29,0.053731343
MISO,78401.04,0.053846154
MISO,78372.4,0.053960964
MISO,78369.91,0.054075775
MISO,78367.7,0.054190586
MISO,78362.6,0.054305396
MISO,78356.46,0.054420207
MISO,78301,0.054535017
MISO,78293.58,0.054649828
MISO,78278.4,0.054764638
MISO,78276.63,0.054879449
MISO,78271.6,0.054994259
MISO,78270.55,0.05510907
MISO,78267.63,0.055223881
MISO,78266.63,0.055338691
MISO,78257.4,0.055453502
MISO,78254.16,0.055568312
MISO,78242.6,0.055683123
MISO,78214.9,0.055797933
MISO,78161.55,0.055912744
MISO,78153.8,0.056027555
MISO,78152.7,0.056142365
MISO,78132.25,0.056257176
MISO,78124.4,0.056371986
MISO,78122.2,0.056486797
MISO,78114.7,0.056601607
MISO,78109.42,0.056716418
MISO,78105.9,0.056831228
MISO,78092.01,0.056946039
MISO,78067.89,0.05706085
MISO,78065.81,0.05717566
MISO,78059.5,0.057290471
MISO,78056.7,0.057405281
MISO,78037.7,0.057520092
MISO,78032.6,0.057634902
MISO,78026.2,0.057749713
MISO,78025.9,0.057864524
MISO,78011.8,0.057979334
MISO,78009.44,0.058094145
MISO,78004.2,0.058208955
MISO,77996.4,0.058323766
MISO,77991.7,0.058438576
MISO,77989.98,0.058553387
MISO,77976.1,0.058668197
MISO,77965.7,0.058783008
MISO,77956.7,0.058897819
MISO,77950.8,0.059012629
MISO,77943.56,0.05912744
MISO,77941.4,0.05924225
MISO,77926.2,0.059357061
MISO,77920.57,0.059471871
MISO,77889.4,0.059586682
MISO,77886.51,0.059701493
MISO,77880.9,0.059816303
MISO,77878.6,0.059931114
MISO,77839.92,0.060045924
MISO,77821.47,0.060160735
MISO,77820.76,0.060275545
MISO,77806.1,0.060390356
MISO,77800.38,0.060505166
MISO,77795.95,0.060619977
MISO,77787.8,0.060734788
MISO,77779.7,0.060849598
MISO,77764.73,0.060964409
MISO,77759.9,0.061079219
MISO,77710.9,0.06119403
MISO,77696.3,0.06130884
MISO,77684.5,0.061423651
MISO,77680.3,0.061538462
MISO,77661.13,0.061653272
MISO,77659.5,0.061768083
MISO,77646.9,0.061882893
MISO,77646.7,0.061997704
MISO,77625,0.062112514
MISO,77618.01,0.062227325
MISO,77592.5,0.062342135
MISO,77577.25,0.062456946
MISO,77575,0.062571757
MISO,77564.8,0.062686567
MISO,77562.9,0.062801378
MISO,77548.91,0.062916188
MISO,77544.55,0.063030999
MISO,77540.7,0.063145809
MISO,77527.96,0.06326062
MISO,77521.19,0.063375431
MISO,77512.7,0.063490241
MISO,77511.67,0.063605052
MISO,77506.44,0.063719862
MISO,77504.9,0.063834673
MISO,77491.42,0.063949483
MISO,77487.3,0.064064294
MISO,77475.5,0.064179104
MISO,77475,0.064293915
MISO,77469.48,0.064408726
MISO,77464.86,0.064523536
MISO,77457.9,0.064638347
MISO,77446.47,0.064753157
MISO,77433.9,0.064867968
MISO,77432.4,0.064982778
MISO,77428.8,0.065097589
MISO,77426.4,0.0652124
